"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.07";"R = 0.07"
"";"vindinger 330"
"std 3.11";"std 0.001423"
1.25E+1;-7.517139E-4
1.25E+1;-7.132715E-4
1.24E+1;-6.705457E-4
1.23E+1;-6.288599E-4
1.23E+1;-5.854248E-4
1.22E+1;-5.358875E-4
1.21E+1;-4.916602E-4
1.20E+1;-4.468250E-4
1.20E+1;-4.104980E-4
1.19E+1;-3.710217E-4
1.18E+1;-3.376550E-4
1.17E+1;-3.119238E-4
1.17E+1;-2.875378E-4
1.16E+1;-2.676270E-4
1.16E+1;-2.517871E-4
1.16E+1;-2.376050E-4
1.15E+1;-2.205176E-4
1.15E+1;-2.016113E-4
1.14E+1;-1.859778E-4
1.14E+1;-1.697607E-4
1.13E+1;-1.487061E-4
1.13E+1;-1.317920E-4
1.12E+1;-1.142883E-4
1.12E+1;-9.401733E-5
1.11E+1;-7.372559E-5
1.11E+1;-5.937988E-5
1.10E+1;-4.677734E-5
1.09E+1;-2.801758E-5
1.09E+1;-1.226562E-5
1.08E+1;-1.519775E-6
1.08E+1;7.102051E-6
1.08E+1;9.689941E-6
1.08E+1;1.274536E-5
1.08E+1;1.032715E-5
1.08E+1;
