"Angle (rad) Run #30";"Magnetic Field Strength (1X) (T)"
"0 = geografisk nordpol";""
"";""
"";""
5.18E0;-8.177490E-6
5.20E0;-9.471436E-6
5.22E0;-9.560547E-6
5.23E0;-7.764893E-6
5.25E0;-7.841797E-6
5.26E0;-6.794434E-6
5.28E0;-8.032227E-6
5.29E0;-7.565918E-6
5.30E0;-7.011719E-6
5.32E0;-8.830566E-6
5.33E0;-5.964355E-6
5.35E0;-4.805908E-6
5.37E0;-4.309082E-6
5.39E0;-7.941895E-6
5.41E0;-7.556152E-6
5.43E0;-8.160400E-6
5.45E0;-5.736084E-6
5.47E0;-4.604492E-6
5.47E0;-6.425781E-6
5.49E0;-6.865234E-6
5.50E0;-6.315918E-6
5.51E0;-7.409668E-6
5.52E0;-5.510254E-6
5.53E0;-5.887451E-6
5.54E0;-4.880371E-6
5.56E0;-4.738770E-6
5.58E0;-5.187988E-6
5.60E0;-6.365967E-6
5.62E0;-6.882324E-6
5.63E0;-4.035645E-6
5.66E0;-6.921387E-6
5.67E0;-4.643555E-6
5.68E0;-5.841064E-6
5.69E0;-6.971436E-6
5.69E0;-7.532959E-6
5.70E0;-6.701660E-6
5.71E0;-7.169189E-6
5.73E0;-7.432861E-6
5.75E0;-6.948242E-6
5.77E0;-5.654297E-6
5.80E0;-6.320801E-6
5.83E0;-7.094727E-6
5.87E0;-7.047119E-6
5.90E0;-7.846680E-6
5.92E0;-8.878174E-6
5.94E0;-5.914307E-6
5.96E0;-7.226562E-6
5.99E0;-8.713379E-6
6.00E0;-7.933350E-6
6.01E0;-7.775879E-6
6.04E0;-9.548340E-6
6.05E0;-1.032593E-5
6.06E0;-8.608398E-6
6.08E0;-8.540039E-6
6.09E0;-1.061035E-5
6.09E0;-9.718018E-6
6.09E0;-9.652100E-6
6.09E0;-8.419189E-6
6.10E0;-1.052612E-5
6.12E0;-6.528320E-6
6.13E0;-8.306885E-6
6.16E0;-1.101807E-5
6.17E0;-1.080811E-5
6.18E0;-9.509277E-6
6.19E0;-1.121338E-5
6.20E0;-8.635254E-6
6.22E0;-1.051392E-5
6.22E0;-1.042603E-5
6.24E0;-8.989258E-6
6.26E0;-8.520508E-6
6.27E0;-7.923584E-6
6.27E0;-8.687744E-6
6.27E0;-1.036499E-5
6.27E0;-9.696045E-6
6.27E0;-1.011108E-5
6.27E0;-9.924316E-6
6.27E0;-1.222900E-5
6.27E0;-1.098267E-5
6.27E0;-8.830566E-6
6.29E0;-1.212402E-5
6.32E0;-1.019531E-5
6.34E0;-1.079834E-5
6.35E0;-1.031616E-5
6.35E0;-9.362793E-6
6.35E0;-9.197998E-6
6.35E0;-9.212646E-6
6.36E0;-8.846436E-6
6.38E0;-6.354980E-6
6.38E0;-1.004883E-5
6.38E0;-1.007568E-5
6.37E0;-1.003784E-5
6.37E0;-1.038330E-5
6.34E0;-1.068970E-5
6.35E0;-1.016113E-5
6.34E0;-9.916992E-6
6.32E0;-8.509521E-6
6.31E0;-1.118774E-5
6.31E0;-1.019287E-5
6.31E0;-9.382324E-6
6.31E0;-8.631592E-6
6.31E0;-1.184326E-5
6.31E0;-8.204346E-6
6.30E0;-1.179810E-5
6.31E0;-1.099854E-5
6.33E0;-9.361572E-6
6.37E0;-5.645752E-6
6.35E0;-5.623779E-6
6.38E0;-5.889893E-6
6.39E0;-7.031250E-6
6.38E0;-9.071045E-6
6.36E0;-7.666016E-6
6.35E0;-8.454590E-6
6.36E0;-7.799072E-6
6.35E0;-6.440430E-6
6.27E0;-8.514404E-6
6.20E0;-8.518066E-6
6.19E0;-4.804688E-6
6.14E0;-6.148682E-6
